,NAME,ADDRESS,CITY,COUNTY,LON,LAT,geometry
140341,天师殿,横店镇明清宫苑后门屏岩洞府景区内,金华市,东阳市,120.308479,29.192846,POINT (120.308479 29.192846)
140342,明清民居博览城-影视场景秀,康庄南街188号明清民居博览城内,金华市,东阳市,120.328087,29.143541,POINT (120.328087 29.143541)
140343,福德堂,康庄南街188号明清民居博览城内,金华市,东阳市,120.3283,29.143087,POINT (120.3283 29.143087)
140347,翰园,明清西路28号广州街·香港街景区内,金华市,东阳市,120.297478,29.176577,POINT (120.297478 29.176577)
140349,西门角楼,秦清路秦王宫,金华市,东阳市,120.315689,29.134809,POINT (120.315689 29.134809)
140350,洛神馆,康庄南街188号明清民居博览城内,金华市,东阳市,120.332947,29.141272,POINT (120.332947 29.141272)
140351,转经筒,横店镇秦清路梦幻谷梦文化村,金华市,东阳市,120.318542,29.137476,POINT (120.318542 29.137476)
140352,魅惑拜占庭,横店镇秦清路梦幻谷梦文化村,金华市,东阳市,120.315979,29.138573,POINT (120.315979 29.138573)
140357,阙楼,秦清路秦王宫,金华市,东阳市,120.315697,29.133913,POINT (120.315697 29.133913)
140359,蔡京府,横店镇秦清路清明上河图,金华市,东阳市,120.312973,29.13851,POINT (120.312973 29.13851)
140360,月香楼,康庄南街188号明清民居博览城内,金华市,东阳市,120.328758,29.13994,POINT (120.328758 29.13994)
140361,桃叶渡,康庄南街188号明清民居博览城内,金华市,东阳市,120.329796,29.141994,POINT (120.329796 29.141994)
140362,魔法城堡,横店镇秦清路梦幻谷暴雨山洪剧场,金华市,东阳市,120.318558,29.139254,POINT (120.318558 29.139254)
140363,兄弟阁,康庄南街188号明清民居博览城内,金华市,东阳市,120.327538,29.138433,POINT (120.327538 29.138433)
140364,四海归一殿,秦清路秦王宫,金华市,东阳市,120.313278,29.136251,POINT (120.313278 29.136251)
140367,香格里塘,横店镇秦清路梦幻谷梦文化村,金华市,东阳市,120.318787,29.138445,POINT (120.318787 29.138445)
140370,开阳亭,大智街87号大智禅寺内,金华市,东阳市,120.312515,29.149515,POINT (120.312515 29.149515)
140373,复道,秦清路秦王宫,金华市,东阳市,120.314438,29.134329,POINT (120.314438 29.134329)
140374,夫子庙,康庄南街188号明清民居博览城内,金华市,东阳市,120.328331,29.141777,POINT (120.328331 29.141777)
140376,华表金水桥,横店镇环城北路明清宫苑内,金华市,东阳市,120.303284,29.171721,POINT (120.303284 29.171721)
140377,安庆庙,里歌线附近,金华市,东阳市,120.406143,29.219158,POINT (120.406143 29.219158)
140378,集宝堂,康庄南街188号明清民居博览城内,金华市,东阳市,120.327301,29.13892,POINT (120.327301 29.13892)
140379,五福亭,横店镇明清宫苑后门屏岩洞府景区内,金华市,东阳市,120.305275,29.192686,POINT (120.305275 29.192686)
140380,孙学海先生捐赠藏品馆,康庄南街188号明清民居博览城内,金华市,东阳市,120.327782,29.140038,POINT (120.327782 29.140038)
140382,尚德庙,十里街78附近,金华市,东阳市,120.306519,29.156797,POINT (120.306519 29.156797)
140383,畅音阁,横店镇环城北路明清宫苑内,金华市,东阳市,120.301781,29.179188,POINT (120.301781 29.179188)
140384,开封府,横店镇秦清路清明上河图,金华市,东阳市,120.310249,29.13843,POINT (120.310249 29.13843)
140386,贝海蓝天,横店镇秦清路梦幻谷暴雨山洪剧场,金华市,东阳市,120.31823,29.139149,POINT (120.31823 29.139149)
140388,火箭发射场,横店镇国防路横店国防科技教育园内,金华市,东阳市,120.28479,29.115007,POINT (120.28479 29.115007)
140389,七仙女,横店镇明清宫苑后门屏岩洞府景区内,金华市,东阳市,120.3069,29.192488,POINT (120.3069 29.192488)
140390,鸡鸣三省,横店镇八一村,金华市,东阳市,120.283066,29.113556,POINT (120.283066 29.113556)
140391,罗开富徒步长征文史馆,横店镇八一村,金华市,东阳市,120.296539,29.103155,POINT (120.296539 29.103155)
140392,三元里,明清西路28号广州街·香港街景区内,金华市,东阳市,120.298386,29.176113,POINT (120.298386 29.176113)
