,NAME,ADDRESS,TELEPHONE,PROVINCE,CITY,COUNTY,CODE,LON,LAT,TYPECODE,BASETYPE,SUBTYPE,CATEGORY,geometry
16929,西湖服务区,西湖服务区附近,,浙江省,杭州市,西湖区,330106,120.130615,30.127012,180300,道路附属设施,服务区,高速服务区,POINT (120.130615 30.127012)
16930,西湖服务区,西湖服务区附近,,浙江省,杭州市,西湖区,330106,120.130234,30.126066,180300,道路附属设施,服务区,高速服务区,POINT (120.130234 30.126066)
17014,沈半路出租车服务区,沈半路50号,,浙江省,杭州市,拱墅区,330105,120.158417,30.314714,180300,道路附属设施,服务区,高速服务区,POINT (120.158417 30.314714)
18458,服务区,,,浙江省,衢州市,常山县,330822,118.738976,29.171835,180302,道路附属设施,服务区,高速停车区,POINT (118.738976 29.171835)
19027,金华服务区,傅村镇石狮塘村,,浙江省,金华市,金东区,330703,119.884819,29.245691,180300,道路附属设施,服务区,高速服务区,POINT (119.884819 29.245691)
19047,永康服务区,,,浙江省,金华市,永康市,330784,120.169601,28.789995,180300,道路附属设施,服务区,高速服务区,POINT (120.169601 28.789995)
19048,永康服务区,,,浙江省,金华市,永康市,330784,120.16774,28.791931,180300,道路附属设施,服务区,高速服务区,POINT (120.16774 28.791931)
19057,武义服务区,桐琴镇,,浙江省,金华市,武义县,330723,119.945282,28.864614,180300,道路附属设施,服务区,高速服务区,POINT (119.945282 28.864614)
19620,苍南服务区,,,浙江省,温州市,苍南县,330327,120.380585,27.507837,180300,道路附属设施,服务区,高速服务区,POINT (120.380585 27.507837)
19718,庆元服务区,黄坞村附近,,浙江省,丽水市,庆元县,331126,118.946739,27.773647,180300,道路附属设施,服务区,高速服务区,POINT (118.946739 27.773647)
19719,庆元服务区,,,浙江省,丽水市,庆元县,331126,118.944237,27.772589,180300,道路附属设施,服务区,高速服务区,POINT (118.944237 27.772589)
19792,遂昌停车区,,,浙江省,丽水市,遂昌县,331123,119.292526,28.611324,180300,道路附属设施,服务区,高速服务区,POINT (119.292526 28.611324)
20035,云和服务区,,,浙江省,丽水市,云和县,331125,119.643486,28.147339,180300,道路附属设施,服务区,高速服务区,POINT (119.643486 28.147339)
20237,龙泉服务区,兰巨乡蜜蜂岭村,,浙江省,丽水市,龙泉市,331181,119.095894,28.023825,180300,道路附属设施,服务区,高速服务区,POINT (119.095894 28.023825)
20390,湖州服务区,,,浙江省,湖州市,吴兴区,330502,120.221008,30.891447,180300,道路附属设施,服务区,高速服务区,POINT (120.221008 30.891447)
20497,兰溪服务区,兰溪服务区附近,,浙江省,金华市,兰溪市,330781,119.475372,29.133293,180300,道路附属设施,服务区,高速服务区,POINT (119.475372 29.133293)
